"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",80640,66480,83560,69200,60560,69480,63760,66120,75040,8200,54240,62200,65840,59360,74400,48800,78480,77560,70480,85880,71520,68360,66320,71600
"B",69880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6960,7920,6640,6840,7160,7000,7040,7920,7600,6520,6800,73200
"C",77920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9240,10320,9720,9160,9000,9040,9080,8600,9440,9360,8040,67400
"D",68520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12080,12800,12680,10840,10480,11920,11000,11280,11920,11320,11280,69440
"E",74160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18200,19080,18600,17440,16520,18000,17760,16840,19000,16280,16280,81880
"F",80120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26480,30640,26040,29800,26080,26440,26000,27560,26880,28520,27280,73960
"G",83960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66840,65240,61480,59720,64040,57640,64480,59200,66000,65920,58080,75400
"H",76560,65440,75960,69600,64280,60240,63200,66560,68760,68560,63560,68160,64440,75560,69320,65200,68560,66280,71040,76520,66360,75760,67800,67680
"I",77480,66640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69080,72000,74000,67400,77360,68840,77400,66400,68400,60760,80440,71520
"J",78200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66240
"K",84480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61680
"L",76440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73800
"M",79520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63440
"N",71600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65600
"O",73360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62080
"P",59480,62880,68480,67240,63640,66480,59440,63560,76320,70440,65040,68240,69040,65600,74320,67040,67320,70520,65040,68080,63920,62000,55240,64560
