"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",573160,559280,584160,600600,630800,606640,631840,636520,605440,609200,626640,623200,654800,619000,652160,632440,630840,631000,636000,633920,631520,603640,585440,625760
"B",561200,580720,594880,625720,634720,645960,643080,645880,660880,637440,655440,668560,681640,646760,669120,665080,676760,681720,682080,671240,665240,646240,646200,619680
"C",596200,19200,18160,17240,18480,19720,21120,21000,22800,26960,28280,697360,28760,26920,27840,24280,22760,20240,20120,19080,18560,21240,20080,636800
"D",571080,22280,23160,22000,22000,23600,24720,27800,28560,34480,33760,681200,36040,33880,33360,31480,27440,25080,24360,23720,24480,23720,23160,625040
"E",589960,25640,28560,28400,27440,29800,32440,31600,41320,46760,50840,680120,54280,49440,48760,38800,35320,30760,30600,28400,29680,31280,29280,617720
"F",582000,56000,54720,49800,50880,52680,74400,99400,128640,144440,155840,688800,162640,170400,155680,131000,100520,74760,59600,53840,52800,58480,60480,622920
"G",582320,87040,90920,88080,83880,92720,120360,119840,181720,359240,433640,659520,465840,451720,362920,165160,110200,110200,98160,88720,87640,91280,98760,618280
"H",567240,84480,102840,113120,115640,101200,161720,198040,521920,629440,641720,653120,635840,666440,649760,520480,151560,99480,115840,121240,123600,130200,117760,612520
"I",570880,76720,111240,103320,124280,115840,223920,333440,595320,640720,657560,645040,654080,646240,644920,601640,242280,202840,118960,117520,124520,142080,136920,599280
"J",552320,112160,88080,108920,131360,122280,262640,494720,613040,624280,633240,638080,629720,643280,620440,612080,315600,282160,137000,141520,126000,136920,165160,608760
"K",570320,590920,611360,607440,623000,614720,612880,648520,609640,627000,623480,649120,620160,630640,637360,643320,631600,625720,622920,629440,612880,595640,631080,593680
"L",552280,86200,93560,93080,120920,97000,350600,493280,589360,623280,619920,617400,608960,618600,631640,619000,479640,319360,152120,136360,120680,130920,188240,579760
"M",577200,570400,565640,579440,598640,597840,590720,590680,574920,613840,575000,609360,608400,619640,608920,599680,602360,603000,600320,593280,578880,582560,593960,586760
"N",552280,568040,576200,25720,33040,47240,154480,449920,577360,594440,597440,600040,590080,588880,593240,590320,607960,604000,594120,608600,583880,566720,574680,582040
"O",533320,504160,556560,535640,581840,582720,565760,575560,581720,601440,607400,598560,585120,592000,610400,604680,588440,585280,593880,602960,558360,551040,571320,539880
"P",525760,542120,518400,540200,543880,564800,572920,577320,568200,597920,613040,607000,591120,604920,601880,581440,576880,584520,579280,573240,531880,555600,531240,532880
