"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",619720,649960,671800,625360,639440,670280,633720,636120,612600,637000,642760,617200,593000,657560,596400,661840,654320,619760,682280,637840,628040,582200,487360,554720
"B",633640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6960,4600,4080,3560,3280,3720,3440,3520,3560,3320,4160,626880
"C",596920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6520,3360,2280,2400,2000,1960,1760,1760,1880,2480,3800,573600
"D",625040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6960,3360,2360,1880,1320,1520,1440,1480,1440,2040,3760,618160
"E",598640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7080,4360,2720,2520,2120,2320,1960,2400,2120,2400,4120,638880
"F",617080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8800,6920,6320,5600,5320,5120,4840,4880,4960,5480,6000,617400
"G",599440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544000,472400,483000,492920,442920,481040,435680,433600,447920,502680,473480,613320
"H",637680,609480,609720,623920,599160,586560,609560,579880,593800,591800,613640,600400,615600,619440,626400,564280,581120,591360,575920,642160,596320,580840,582960,619400
"I",607960,627320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602960,596120,567920,538960,547040,557080,591400,590120,549880,592640,609280,576920
"J",608800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636680
"K",573640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657640
"L",607440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612120
"M",540920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592360
"N",573120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606000
"O",576240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578640
"P",565800,608720,644760,646520,664240,664880,642080,710760,670400,642000,664200,658080,641880,701040,643680,623760,627800,634680,604160,643920,630480,595560,609800,577760
