"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",516240,352800,449840,463840,370960,378560,443600,436600,461400,372200,406120,388800,324480,461600,426120,410280,324640,207400,218480,312880,248520,379600,347120,374560
"B",204720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,3240,2360,2240,1920,1760,1680,1600,1560,2360,3000,319880
"C",428360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3160,1760,1280,1240,1120,1120,800,1040,1160,1560,2560,338400
"D",316560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2920,1480,1000,800,560,680,720,640,800,1240,2440,451360
"E",305360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27040,1800,1200,840,920,1440,680,1200,1600,2240,3720,376040
"F",191480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196040,3320,1800,2760,1600,7400,2720,7560,49040,81400,38120,342000
"G",331760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338160,14640,26720,9120,10960,23960,12360,131200,168040,274600,340120,298400
"H",399000,215640,200920,395800,331000,353040,289600,355320,261360,296560,223240,240040,324800,255440,211680,210520,348520,332600,275000,203280,276680,390120,371600,402280
"I",318680,324800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306120,37720,77720,8360,15600,29120,12640,70360,167720,273480,260760,388000
"J",358600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400840
"K",249920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281920
"L",239440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240600
"M",269800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460400
"N",225640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343560
"O",441040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287080
"P",218000,451960,426840,271280,339520,348920,262600,155800,191720,234280,124400,138240,195560,151760,135200,314440,242880,278200,141360,331640,253440,221680,471680,455960
