"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",640520,734160,671920,706000,692240,741000,738520,723040,737280,749080,773760,727600,734840,729880,749240,757600,754560,741840,736280,723200,711920,680560,591520,693880
"B",600360,680120,680280,691920,708640,709840,720400,8e+05,731320,731040,742920,781440,763200,723360,742320,754880,740240,717800,742760,744520,738600,695840,654440,678560
"C",692400,44560,57040,55480,56920,64720,63640,69040,64720,63840,60360,771760,55800,61520,64080,71440,68320,64960,63400,61680,67360,59320,42720,735720
"D",655120,83760,83640,73040,78480,77120,86440,110320,119840,126600,116520,747440,111160,118480,122640,132360,110040,90320,82160,83400,85080,86520,93240,737600
"E",661520,47040,65360,63240,68760,72200,71000,58600,67760,76440,76280,749560,74320,71800,71280,62040,59400,61800,75760,74840,73720,67760,55640,703160
"F",632480,37560,29040,26520,23120,28520,31600,126720,356720,602960,670640,720480,654000,690840,585960,333120,122360,26920,34080,21720,34840,34600,67920,699040
"G",604440,25960,15360,13000,8280,14840,26440,217840,394360,644400,659440,725800,705280,686720,633480,450040,98600,17960,15800,21520,17040,16760,59240,690600
"H",638840,20560,13240,11960,8680,10520,21520,153160,522720,643800,676640,714360,674960,688160,644680,498200,145240,20600,15280,16600,25120,25320,83560,701400
"I",585400,33520,11560,11000,8680,9160,31080,202720,549800,658880,672440,668800,673840,693800,656960,475640,195960,22640,22360,18320,20920,27520,69200,664840
"J",573880,24600,11800,11480,14400,21720,39440,300120,506960,640800,665520,684120,667920,656560,638520,520600,240480,24000,22440,20960,20880,21960,156400,658520
"K",637320,625240,594120,648280,676240,655320,667920,645440,657720,669480,641640,663360,658120,659800,672200,651360,648160,659640,657600,644480,667760,663120,673000,647000
"L",610560,44960,12160,9120,18920,20840,42840,338360,562000,643280,645360,656960,641800,654920,625400,549840,276800,66160,27040,28160,22760,26240,142080,645760
"M",562880,598320,606560,725360,587640,624560,627920,615760,633600,709400,733640,761640,620800,635920,762960,624200,637840,763520,635960,598520,618680,609160,625440,597600
"N",564400,570160,620800,46880,95240,66760,559320,615400,632600,647920,648200,645240,635080,625120,637200,620960,646880,608000,598160,592640,606520,581000,807520,603160
"O",550440,590000,610680,613520,614280,632920,596680,640760,609840,633360,634360,662080,624080,643480,640560,621120,610400,605880,621480,599960,591240,583040,588440,594680
"P",590880,577720,566920,611840,619600,622800,625680,602360,598040,631920,659840,643400,624160,621440,642480,639600,597520,590760,601560,594680,580440,575720,553520,578760
