"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",237120,240280,234920,277360,210800,221920,243240,214520,208120,206880,249080,233920,212560,209000,204920,201760,200360,203760,201880,208920,234400,220880,223240,234800
"B",233120,175680,57880,160080,123720,130360,132640,111760,131360,195560,146680,166720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224960
"C",265360,223400,176240,209920,184400,161280,160480,166200,184560,190200,198160,202360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222600
"D",209360,218840,173360,199200,187720,173960,169160,193680,191840,199560,192000,197840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211760
"E",217160,221000,218920,193560,205880,183040,177840,169840,190360,192080,193320,194560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201560
"F",212320,213960,189360,196920,245600,170440,192720,167320,187280,200320,185680,193680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209560
"G",215800,213320,188040,231400,191240,182160,170160,176320,187840,194040,191800,192200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202200
"H",215800,203280,222160,195920,199080,198080,193560,196760,189720,190880,193200,186000,191680,196240,193640,194920,243280,198200,200280,196160,196320,199600,201600,209160
"I",217200,202320,192000,232480,184840,171880,164440,170600,186640,191720,190520,207440,193640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207880
"J",201880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207840
"K",219560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362240
"L",219400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207360
"M",213360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204360
"N",206760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253040
"O",210440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220160
"P",223640,229080,207800,212640,213600,262000,244400,205920,197160,210000,292880,214320,208160,285480,208440,202080,202320,199680,204160,213800,202760,203400,203040,234680
