"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",180320,316640,194840,294960,211800,288920,193480,307880,196760,359640,203040,461560,200040,319160,180640,269560,175760,495480,190480,489800,188160,302680,245880,320640
"B",356520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346080
"C",242640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280400
"D",243840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261800
"E",449840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247360
"F",284440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381360
"G",287720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290760
"H",410160,252960,241480,248440,250760,377560,227720,230240,217520,406520,218000,299000,212000,220080,212440,280600,227360,236440,233360,364680,234360,239240,237920,260200
"I",250640,178520,241200,170840,213960,160480,265480,115560,214800,170320,284760,212600,386120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173280
"J",295040,29040,4440,6840,25120,10080,49680,19000,32560,19680,30760,28760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256760
"K",256640,185640,56640,179600,180160,260000,197200,204280,203720,190280,198240,181920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268400
"L",252120,197000,70800,369880,207200,215440,201480,325600,213640,336360,205080,274640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424160
"M",283120,205800,86800,218480,202200,186240,186960,227520,205040,219120,224040,219320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246640
"N",292080,217040,168680,219880,336960,190840,203760,209080,218920,402280,212480,227760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245400
"O",252840,231560,212640,370320,197520,295920,193880,383040,239800,260880,234920,241400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254280
"P",305120,254760,275120,276560,248080,295320,264800,363720,405760,239840,357240,238160,247160,242920,243240,262680,243640,377040,231760,234120,238120,239200,234360,288560
