"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",592160,593160,611520,617920,627720,642680,644360,626480,612760,635040,637160,610720,614080,610200,644560,636280,613240,611120,608520,586800,582560,564120,495480,536160
"B",563880,554080,571080,602440,611640,606120,611520,635080,615000,621280,639720,636000,623160,618120,646800,640120,635960,634000,628160,606200,586720,578480,552960,562040
"C",650840,224600,235080,241200,243720,268320,273280,261440,269680,271840,287240,625960,285160,277440,298600,276920,260840,260520,285600,265960,246120,226560,229240,552240
"D",585440,229440,251360,226680,260080,270880,287240,293920,285760,291960,303600,637760,298840,303240,320560,312760,280480,288440,278600,268760,259240,252120,239440,592640
"E",579560,239800,325120,225800,241720,284960,301520,309880,294760,297760,340880,647920,302320,315200,332200,322400,325920,311960,280240,258760,246520,321320,252440,590680
"F",585200,297240,392640,288880,244720,265560,294160,333000,328280,318400,336920,653200,332920,320280,347840,354880,337080,301000,295040,275400,285640,413240,340920,589800
"G",617480,337640,405520,334400,276720,314360,349240,356160,359320,379120,393600,646160,381280,381880,374920,381720,365080,369320,330440,296520,348160,436480,375800,586520
"H",595640,318800,403840,332600,328680,381040,474680,475160,497480,492360,506520,628360,505880,513440,492760,487640,467280,465040,380520,354760,335920,414040,347080,594040
"I",591360,325720,372320,346360,320800,396800,509360,531240,565040,556320,561400,639440,564320,576200,559720,565960,520720,513240,423280,357160,333720,401080,342680,579840
"J",563040,316800,368520,295320,314480,403960,513320,597920,609800,607960,604600,626360,588160,615960,613800,607920,568480,520880,416600,324560,327200,407040,355320,582240
"K",575520,550000,548760,569880,582280,592520,598880,609000,593760,616600,615000,612280,604120,614560,607400,627520,616840,588840,619040,603080,583640,594840,577320,566200
"L",550640,300560,360440,292720,298440,335840,496080,569000,583960,589480,584040,606480,581920,582240,616840,624920,569080,511240,403840,324920,279640,386800,316600,562280
"M",517680,507840,517120,527960,575720,570200,581160,585680,585760,592640,585040,587760,571880,580520,584080,596240,596600,581800,575120,571960,543040,530280,536560,525000
"N",497040,470360,488640,250160,243560,268960,286760,335560,457960,509600,543240,550560,565160,574320,572040,572400,582000,554760,557080,551760,532160,518800,507200,525880
"O",481200,491240,528360,534520,541760,545240,543920,556880,563680,574880,568640,557320,553400,569520,573920,567360,553800,552920,551520,551600,547600,520640,511400,485760
"P",487200,491520,511480,531200,538560,557120,561400,558240,560600,572320,579800,575760,572960,574840,568000,558480,543000,542720,545200,524360,534000,501480,510280,492920
