"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",350160,281160,388840,370880,414560,301600,422280,414160,275360,306360,299320,299400,285680,399640,375800,465200,426120,398480,400680,514520,431760,524880,496080,391320
"B",403400,455120,364840,484640,366880,360840,374920,485120,441000,401960,427720,420400,530120,332240,397320,395600,522920,524560,416040,407640,401680,408520,289760,280200
"C",334720,23960,36440,65040,65600,89360,113760,108320,137840,134400,115320,362120,103800,119120,80360,57320,97800,77320,114520,77800,84920,35200,45080,338320
"D",343280,30040,83240,140000,205000,187920,254600,196680,206160,128160,118440,359560,236120,244520,180040,162320,143560,174360,241800,211880,161880,97840,29080,300560
"E",324200,44440,132920,193520,238040,219480,193800,214600,215440,173760,197040,400520,226680,269080,212240,208280,187800,194680,213120,227320,186520,114520,52480,339600
"F",309960,39920,121480,278360,247160,260440,412040,238200,253960,222400,293560,449480,243440,242680,240800,263360,266440,274120,219360,222520,191040,129480,63040,291800
"G",353360,138400,155640,244160,275480,245520,246360,232760,213400,264960,317880,369800,238000,293160,253560,298920,264040,227680,222320,239280,206520,169880,157200,340520
"H",369880,200480,213120,290560,303600,254000,315240,295040,289720,261080,325680,414920,228880,264480,272920,265960,230320,243760,252520,238960,232360,224200,199760,184640
"I",382680,188200,280760,314040,275520,295360,311160,305320,286000,235200,314080,433080,352480,284560,286080,250680,246120,277120,310080,318160,298000,255600,254960,317560
"J",355600,267320,304720,334600,318440,337560,336280,344480,307520,312760,353120,422480,329400,324560,318680,316080,292560,323920,355720,354480,331880,295640,266120,351560
"K",294640,359560,337880,343080,342800,348680,378960,381320,359520,345000,353600,395000,355120,351040,354320,369400,343280,327480,357840,363960,309800,321520,317400,310960
"L",320760,257600,298720,331520,356080,371200,372000,382560,391400,377480,394960,352360,382600,393840,368080,406320,372520,352760,354600,353360,329760,278720,241200,345400
"M",310400,326280,338080,327160,367640,353360,379480,377880,410920,389920,395760,362200,337920,377640,408600,421720,434160,337360,390200,410160,350800,344880,320760,304520
"N",274880,330160,347720,130440,225080,262960,267840,213000,277040,260960,323240,371680,379840,377240,383120,362360,405480,343120,391520,406360,375640,350400,342680,339320
"O",341760,346840,355800,413280,396360,351200,357400,399600,372160,348720,385480,371800,359080,374600,417240,353680,360160,347200,359360,346840,379960,359680,320120,274280
"P",366280,348840,357280,382640,355680,379240,359200,364680,363360,346320,350040,364560,368480,352000,341080,326040,329720,312720,327760,322400,349160,334080,336160,213520
