"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",82200,168840,135840,108400,133680,117880,142360,163200,108680,140760,153600,113600,106840,131480,127600,136520,133160,117120,115160,111200,104600,116040,103160,94280
"B",113720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100760
"C",98280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108240
"D",95280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99120
"E",105840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78240
"F",141600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87080
"G",144280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94600
"H",134680,139120,111760,99720,91240,73680,101120,95000,136400,64840,64560,80920,70200,63520,88360,94080,95120,82600,65600,125280,94000,74120,96160,86760
"I",116840,115800,88320,68640,71320,59200,41200,60120,71840,69760,80640,106760,71360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79840
"J",168200,5400,2240,2320,2440,2440,3400,2800,2360,3080,3400,4520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85440
"K",104640,91880,84840,67240,56920,54600,68160,42560,82000,63080,58120,83160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82840
"L",82000,101800,72720,95880,86560,64240,69000,55560,52200,75320,76640,75960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96920
"M",117640,103360,106280,72480,57280,49480,37480,46760,58440,54280,85720,80800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65960
"N",121880,93280,79440,53160,55320,46360,63000,63840,59440,49800,77240,102280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64640
"O",148400,84600,104840,84840,54920,51200,45600,77560,46640,92920,77040,83600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102880
"P",94760,87520,89240,108000,56440,98520,66640,62160,90320,64960,46680,83640,75040,83120,57680,57320,80320,74920,69080,45680,68520,65400,68920,93560
