"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",329280,322240,330320,336040,347080,353800,359320,362120,373320,364480,373240,380680,372200,355960,372960,399640,379840,363120,385840,370280,352560,361560,366160,356440
"B",316480,320920,342520,325960,334880,351800,361120,357160,358520,348240,365840,373720,359000,342960,351640,372640,365080,367880,368160,356840,354120,353560,372720,351120
"C",320040,252880,243760,274560,297520,319400,303240,318320,307880,328680,324520,394720,299320,344560,334200,344560,313280,285600,315400,280520,278960,252760,230800,370440
"D",328880,292680,293600,290520,334000,340520,325280,332760,326320,335440,364360,364960,341440,346920,348560,360360,351520,353960,358920,340320,330160,310200,265280,375360
"E",325800,450000,422560,439520,471520,509800,498520,491280,500720,487200,504640,368240,514120,518560,515120,506040,509720,532920,498800,513960,521320,494280,443720,366880
"F",326480,450280,434080,431240,458000,456160,458320,455440,471960,463360,489280,343760,466280,477800,470040,460640,452360,490840,474800,461760,471920,468080,427800,372120
"G",323600,432880,386240,430840,408560,409160,411120,433440,412440,454920,435440,347440,417400,412440,425560,427560,436920,444000,415920,422440,428280,450560,425640,368440
"H",316840,342760,392280,338320,335120,330240,347560,352720,362480,352520,350440,346200,350520,353000,349360,339720,380640,362000,362280,368760,380360,400520,461000,348240
"I",329200,342960,338800,317080,318400,321800,341240,328480,325840,333840,339800,331480,342720,342920,336320,333040,347600,342320,339520,328920,389120,377040,418960,350560
"J",309600,320280,331880,311640,310960,318920,326200,330760,333800,323200,333120,326920,328040,322000,329560,343760,326240,314480,329280,334160,336800,342480,446960,347680
"K",304640,302320,297640,302360,301840,313400,328760,318680,314880,322760,321920,322680,325960,322880,319840,321040,327960,331160,316880,313440,322320,323920,328280,334760
"L",298560,334760,315560,298200,312080,321080,310760,320040,323800,319560,320880,330400,308800,315760,315120,319480,320600,322960,310640,319600,316040,340360,359200,337240
"M",296440,291720,291720,300720,305640,295080,316800,309120,313000,311840,307400,318280,314520,312240,312520,311760,316880,311600,313920,311880,311600,319960,316800,317920
"N",284400,278080,281920,273520,322520,430760,415320,387440,317440,313760,313520,320520,320000,317880,316280,309120,318560,318080,307120,305840,298360,306640,308400,307040
"O",282960,282680,282000,290000,304960,301720,309640,310800,306800,311120,310960,308680,314360,318160,320120,310360,314680,314440,317840,312000,303240,290560,304360,297960
"P",279800,279960,279360,285440,291560,295000,294600,301280,306040,309760,315360,325920,321040,320480,314560,310040,313120,306480,312000,304200,312440,308520,303640,304200
