"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",348320,337280,238280,235720,244920,239280,255240,356520,250480,235080,247320,247840,252720,303760,368880,238320,353280,241440,253320,349800,347080,228200,234880,335920
"B",256120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301280
"C",306200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242080
"D",245280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258600
"E",247600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235400
"F",236520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233520
"G",292320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338880
"H",239560,246880,306960,228440,330320,218200,223160,281800,279000,215200,217360,308360,215120,319360,216320,300800,218440,258040,260000,293720,224000,314360,315600,327040
"I",359480,313400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288720,215120,214800,297000,218600,217720,281640,365920,226800,250640,234320,271960
"J",241360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237640,228760,217960,288280,247880,210400,209160,209160,215440,287680,305160,232480
"K",252240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294720,222000,261600,279920,215520,216080,216920,271640,255360,218920,224680,225000
"L",339080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221280,222440,266920,326120,220680,273560,222920,289680,225200,314880,262920,234400
"M",373560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232800,226640,258600,223600,222840,221680,222640,223840,311040,220440,224720,231840
"N",300440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229800,230960,296320,346080,339560,336400,288560,332440,319760,292160,239680,234520
"O",373120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237200,334360,271160,232960,314960,303400,257520,385960,290760,224520,275680,242000
"P",356160,238400,242320,416320,242480,248240,235760,240400,234320,317920,390400,384560,354920,244840,234840,411200,236560,340680,297800,315760,232120,234120,241640,249120
