"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",319800,237160,221080,281880,240920,226880,301480,303560,351680,311360,232160,261160,252680,291640,225400,284120,297080,290600,290160,277680,288360,240320,247520,266320
"B",280760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282400
"C",295200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273560
"D",314800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237160
"E",310080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302840
"F",218360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291000
"G",220160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223360
"H",309240,226120,222680,214040,286640,213360,221000,204600,267800,225600,307480,226960,242680,292000,283400,291720,294360,284520,291000,210120,296920,292400,295480,240080
"I",295160,335840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289840,151240,197120,212000,214040,149400,203840,246080,290640,275240,316200,328800
"J",367200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84960,55360,36080,31720,24040,30480,27480,43920,49040,76760,82440,337000
"K",291680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46440,66560,43440,34320,33880,27880,40760,51480,64520,75840,117920,321240
"L",327640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58040,60680,69160,40360,35880,36840,50360,53520,77920,106040,127800,296840
"M",246600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79160,90480,101440,79280,71320,53920,96600,79760,126880,140800,185760,319640
"N",223640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189400,135480,120240,120200,94200,91080,117120,157760,161280,205240,200960,267840
"O",313560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247000,189800,203400,189080,167120,178640,198320,249320,173480,220480,278480,232040
"P",327720,220040,229280,224280,209720,212880,302840,346360,281240,288880,307240,234120,299880,267240,250040,244360,365360,287800,305160,318600,251320,239960,246280,307880
