"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",279400,217720,236880,207920,152560,151720,78320,172760,190560,175120,104320,85080,124320,64880,98960,81000,115440,116280,70400,65240,92680,115040,197040,256520
"B",99120,3720,1160,1080,1120,960,1000,1120,960,1160,2200,1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208720
"C",60080,1840,840,600,400,440,400,560,720,840,520,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74440
"D",4240,29600,600,520,320,200,240,360,280,680,360,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69680
"E",680,2760,240,240,200,240,240,360,200,320,320,5920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93800
"F",24560,28480,320,440,320,280,360,360,440,480,3200,8680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97320
"G",7920,38360,600,480,600,480,280,520,680,2440,760,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85760
"H",30280,53240,32920,41880,60040,49040,34840,53120,66000,56400,43640,39600,57360,40320,43360,62320,70720,79720,83040,66160,96760,69360,85560,60120
"I",43840,69200,680,480,560,520,480,560,19360,38560,11920,18280,36760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88680
"J",43200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64200
"K",60480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87440
"L",72560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89720
"M",141560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122080
"N",64160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114280
"O",87800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95640
"P",31760,116080,480,55960,440,46200,280,10960,280,3040,360,560,480,640,520,83200,920,111880,1080,46200,1160,69000,1600,235160
