"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",577440,479880,461040,331600,187080,207080,198360,285960,347480,515760,484440,492960,477240,312360,252520,158440,108720,105080,38000,146440,149760,312240,402840,476760
"B",322920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582480
"C",396840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450120
"D",210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324160
"E",251160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360160
"F",179800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413600
"G",61440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335560
"H",119560,91560,46680,1080,520,240,2160,360,200,320,240,400,320,440,280,440,1960,5200,440,3440,1000,2160,83880,405200
"I",237240,97160,920,600,240,320,240,200,280,120,200,240,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364520
"J",139800,1600,760,400,160,240,200,200,200,240,200,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312800
"K",227440,8960,840,960,280,240,240,240,160,200,320,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282280
"L",217760,31480,1000,480,360,320,160,160,200,160,160,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289280
"M",199240,51920,1240,520,560,240,280,200,200,360,280,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381160
"N",327520,120960,1600,880,400,400,360,520,400,320,400,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346440
"O",309720,198720,2880,1480,880,440,760,1320,840,640,880,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363520
"P",467840,322720,404280,128560,1680,7280,36960,263840,151040,760,600,18040,960,92360,1240,268240,318480,353800,43760,163000,195760,420160,553760,578560
