"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",856680,620360,608240,633400,649640,630240,636040,662200,627480,641000,604840,661440,784400,654080,636480,708800,666440,662880,815640,677400,687120,630080,648840,695000
"B",826400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29360,15800,14000,12040,13480,12800,14080,13760,15800,12720,13920,673760
"C",614600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49200,17840,17720,15560,16720,13800,16560,24800,24640,23000,29080,634120
"D",607600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75040,37480,36040,35200,30840,27200,34920,40280,44880,48360,48600,651480
"E",625920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159120,140800,109560,107760,101080,95640,126560,123680,136800,132120,142080,659320
"F",599280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299240,251040,224560,203680,189880,178000,191720,230080,281320,294520,305560,638800
"G",605560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775920,530640,505320,446320,449880,405440,500400,602320,641600,650160,650960,652160
"H",713400,576720,593440,614600,574680,587160,566480,576400,584040,554880,567440,575960,577960,590680,560120,574360,612480,605640,682280,599240,686200,633080,614040,637120
"I",602280,576960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572280,502240,510040,485800,449920,462920,523880,585920,626400,615600,648200,670960
"J",588120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707040
"K",600640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637000
"L",586920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,624240
"M",576440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636120
"N",562800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666640
"O",578520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642520
"P",621840,619760,639920,640640,704200,629480,618800,695920,625880,646640,642480,632320,632160,641280,634320,626640,608200,616400,635360,630080,628240,815760,635480,618600
