"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",321360,298560,302600,293280,314800,363000,364360,372160,353800,353480,358080,341320,325320,344840,345280,357760,367920,368240,363040,346600,347320,313720,286760,341320
"B",293360,306960,295200,295440,293760,357320,342000,339760,343200,352760,372880,352640,330560,328240,343320,331000,338480,322720,356840,353400,325560,315600,285960,335440
"C",288720,258360,250200,235120,225160,244720,231480,234280,232320,246560,242320,348480,240000,243040,244440,241360,231440,234480,234880,232480,229120,229080,209960,341200
"D",265480,251320,246400,238360,238960,261400,254560,249640,265200,256520,259840,358200,264000,264960,255880,272320,251520,237280,246040,241640,229760,218800,198960,316280
"E",254520,300960,266640,274120,305800,327280,326880,336920,312800,318480,329960,345600,330040,329800,342160,317760,326960,318840,307440,335000,320760,311800,280840,298720
"F",253840,305360,274280,299960,323440,340640,334440,325280,343160,342360,341560,355160,347640,336640,350480,333360,328000,322880,329800,332040,331680,328400,285520,291960
"G",228080,286680,249840,303800,343600,323880,336440,327240,351600,343320,347360,364080,339680,340520,356280,328320,329400,324000,333200,336960,22520,306080,276640,282800
"H",240160,269080,252040,281920,329840,324600,313160,324320,328560,342480,338800,348680,327960,345280,348720,325760,316840,323640,328280,323400,322920,316200,270760,304360
"I",232760,249040,251480,265440,309680,327320,315400,331440,327560,334320,349920,340200,311760,325840,324560,317400,326880,325680,316120,318760,310760,281600,284840,312680
"J",243920,224640,236000,260760,306480,314120,322600,331200,330080,319880,321880,343680,327000,332160,311560,327640,314720,301200,306720,309160,314760,278280,286480,318360
"K",245640,251400,259560,283880,314640,312720,307120,344800,329360,310720,324720,335280,326000,322800,313560,320080,330000,303760,316360,327760,321240,302240,307960,314320
"L",262840,209520,268240,274280,322640,305960,301120,327240,319240,319400,331240,328280,332800,328400,324400,323000,305480,306240,325720,318280,299600,277320,296320,326320
"M",224920,236880,285800,316040,323800,282360,309040,312320,321680,312200,328400,318640,314040,309320,313440,302680,312040,315680,324360,316040,300160,278440,284600,327560
"N",249360,255640,277840,194440,228400,299720,287520,310480,311960,307560,315200,319640,318760,307120,301240,297520,312360,294160,332840,323640,309080,280800,276720,303440
"O",268200,268480,294160,296160,313240,285880,286040,276720,298240,287440,304960,302080,302520,299000,282000,289160,291880,267760,314840,301760,303560,4360,283000,304560
"P",288720,300360,3e+05,316280,322320,319360,282600,300240,285080,323120,341000,320920,322960,338080,334160,306160,301080,300440,330000,340680,332760,317760,324800,324680
