"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",222760,132560,86400,55800,84920,49680,53520,46560,32080,37240,48320,38000,56640,42680,34480,24360,31480,22000,27000,29200,25320,32200,38800,73560
"B",56440,31520,30800,35120,23080,25000,26520,37680,24400,24960,23760,26800,28360,19760,21560,25800,24960,37920,20600,14000,24160,27800,39720,87360
"C",101400,280,360,120,440,320,360,600,400,200,520,27480,480,840,440,160,120,360,280,440,200,280,240,66520
"D",48760,4640,3040,2160,2840,2600,2520,1120,1480,1120,1440,16800,1000,1560,1040,1320,1920,1520,2280,1600,1800,2720,5600,48040
"E",32840,4680,3440,4440,4880,8120,5080,1040,720,1280,400,11200,1000,560,1280,720,920,4080,5120,4960,3720,2920,3080,41360
"F",39680,8000,4680,4440,8320,7880,5360,3160,2960,5960,4440,12000,4040,4280,4440,3520,4400,3920,3560,5080,2240,2920,4760,30680
"G",43760,13520,8240,10240,10800,6280,4520,5200,6760,9960,8920,11840,12800,11120,10480,8800,7000,3840,6880,7280,5400,6360,9640,32080
"H",41200,23680,8840,7800,8120,8200,5720,5640,9120,11640,9840,7960,7560,8880,10360,8200,8880,6440,5960,7640,3800,6040,11880,24440
"I",25480,16400,9680,10160,7640,7320,3960,7640,7640,8680,9480,7160,8000,8120,7440,7320,6760,4720,7280,6640,6560,7200,11440,17880
"J",29920,15560,8080,5600,8720,7440,4680,4040,7560,10160,11120,12200,12280,8120,7760,5520,9320,5040,6160,6320,6080,5280,10920,21120
"K",32080,19680,19200,13760,13360,9200,9520,9040,9960,10040,8080,7440,12800,10640,10800,7080,7760,11200,8800,7960,14080,16560,11400,21800
"L",31640,10840,10000,6160,7360,5280,5560,4280,5320,7080,7000,10880,5960,8640,8880,6440,3920,3520,8840,7960,6320,10080,11600,19480
"M",22240,20880,18760,12640,6680,7280,10360,6000,9560,10320,9680,11600,8200,8200,10680,7400,11320,8280,6800,10120,11960,11200,16720,30360
"N",28040,19200,12240,280,1520,1000,4960,12840,12240,9520,6040,8320,5800,5800,11160,6440,9680,10080,7120,200,9440,17680,17800,34040
"O",53400,20400,13000,16400,11680,14400,9680,11360,7960,9200,8200,6480,9280,6320,7280,8800,11040,8400,8840,4280,8920,9000,11640,22120
"P",41040,13400,8880,9200,10080,6880,8240,6480,5960,4560,6200,8960,4720,7120,6040,10520,11080,10360,9000,8000,10320,13720,16160,25840
