"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",543560,507000,522000,106040,529720,597440,540440,500840,520440,533400,649000,694240,549280,522360,535520,520400,552760,556680,497040,488120,575360,538800,517320,588360
"B",517720,466720,460480,474040,499280,467480,506760,495800,538760,535200,636440,618120,577240,532080,536080,474280,520400,555080,538920,459680,550480,500600,482440,502000
"C",541480,55680,190920,220480,1760,293600,300280,330240,310160,317640,317360,580600,317560,333120,299840,311120,294040,289720,289720,270000,273360,215280,172160,464800
"D",386840,28560,22840,204840,218920,256400,272360,308440,299160,320440,305640,524880,306160,318160,309160,320760,277000,275960,274360,258520,233560,64360,81560,471960
"E",430240,28000,31800,134640,292880,289040,324720,345440,353560,367880,369960,509960,358480,365960,368120,343040,325520,314880,304520,281360,194480,53200,53040,407120
"F",372280,37320,24760,44840,200240,274560,290640,306440,350680,353840,351440,459760,362960,364120,343680,337280,345160,322320,275920,215040,75400,30320,63560,466520
"G",404040,8360,19640,37480,94400,251440,311560,316400,369120,410520,379960,492080,381520,345720,373200,364960,341960,302560,206240,90440,43720,24040,40040,534680
"H",88320,8120,5080,30920,19920,27720,76760,207600,209880,220160,282680,399720,244240,217320,211120,213200,203360,94160,19200,26000,33400,9120,34280,460040
"I",387800,4840,3120,9640,4560,3040,4040,8280,27560,19160,174720,467120,115800,98560,66200,38640,27960,17560,3240,11320,4320,2320,3400,454160
"J",437920,3120,3200,5600,3840,1720,6000,90840,182120,253560,294120,485200,282080,345800,253920,91200,3880,77080,2840,4920,4440,2960,5480,495960
"K",489680,389040,409080,394320,372120,438320,414200,380880,389960,410800,397840,408320,395400,425640,476720,402760,438720,476360,414600,433400,435520,452280,417920,483480
"L",473120,4000,3720,9440,4400,15480,120840,267200,344320,405280,368560,439880,384200,417840,410960,368560,193080,117880,7040,3920,6120,4880,5600,477640
"M",414040,384920,387440,408840,366520,345480,378840,428040,414920,388120,350600,357000,370880,376280,359160,371680,389200,399800,394640,388840,428480,424920,438160,482400
"N",429280,418800,431880,287760,290960,300800,272760,318760,249560,92000,301080,426240,441640,431160,366040,389400,447680,428760,440880,429640,425200,424760,434000,470560
"O",457720,316720,389040,375200,366880,364680,464280,387280,399760,360880,358240,391200,395560,354240,331440,378600,379640,422200,393760,398080,408320,403520,442720,460800
"P",455680,429080,418400,406160,435960,438760,410560,437520,477200,436640,474320,488360,498960,493960,495200,487200,496000,496600,492000,484480,503280,478840,474840,499320
