"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",353080,395200,411000,428800,418520,438840,415360,422760,418320,435000,423520,390080,386400,396720,391280,424720,418640,409520,406160,390520,404320,377120,346480,352600
"B",388360,408840,413640,410280,395040,407160,409440,400120,387920,414920,416360,393000,416840,391080,394800,386960,379160,397240,394160,394960,413200,379400,373000,374520
"C",415600,62080,70040,55800,60880,64280,64240,63200,65600,81640,84360,396320,80920,87920,85840,76240,62680,65280,67560,67800,71400,67160,69400,367600
"D",383960,121640,138040,135040,132800,146200,142160,144720,151080,163320,163640,398560,153640,167840,166400,155040,139520,139720,143200,144160,144560,138080,130120,387960
"E",379280,191680,208200,196640,202560,210520,218040,220240,223160,221520,231480,403200,223480,241920,230800,219160,217080,202320,216240,206640,215640,205320,195960,363880
"F",364520,258960,291320,291880,275000,289600,293120,280920,287680,304960,312920,403360,291360,312880,307640,293560,273760,280200,285000,267200,280720,285440,280600,385760
"G",375880,347520,359240,343840,332360,330680,348280,345040,353120,354160,358600,390520,358800,370120,356720,332160,350200,334520,325840,331080,345120,344320,331800,388240
"H",368320,373800,378520,370920,351200,354880,370000,369200,353240,368280,383920,400920,370160,390880,379280,356280,362280,339080,369080,359160,352000,350760,360880,367320
"I",375480,375600,382840,385080,371560,367480,373760,356400,366520,355360,375800,377360,360240,384600,376920,359880,356280,350120,352200,341520,358280,374720,354200,365840
"J",364440,370480,362800,382680,368920,375560,365200,359560,371520,358920,364440,383520,377000,365680,367160,363960,348360,350680,355520,347720,358720,369080,362720,389360
"K",369680,381200,376720,385600,377520,370720,379560,384840,361160,369960,371280,373120,369360,363200,362760,360800,372800,343960,353760,355640,357800,348040,356640,368520
"L",354080,350120,355200,364080,360560,372240,353120,376160,366440,364240,359960,379600,361760,371640,367720,378640,351240,337200,352680,348080,352200,338520,346280,362520
"M",361760,361560,348240,347320,375520,365800,365440,374240,362840,369560,361400,361960,360280,359360,352120,363600,350800,338920,346440,356040,327360,339960,353200,352160
"N",350520,347640,362520,79560,151880,208800,285040,351280,362120,364920,365200,361240,354360,371200,362240,344920,363400,355120,346160,350200,348280,357920,362240,367480
"O",356920,376240,372400,381040,373480,368480,372040,378680,383400,372560,377760,395880,375240,381920,363280,349040,369000,352440,359400,381920,355040,353960,363360,352120
"P",333200,368440,356400,374040,357960,370120,376280,371760,367400,388040,398680,392360,390600,394200,394400,360680,375080,354960,401280,355880,367480,354040,377160,359520
