"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",465640,488040,490680,480680,488560,477800,507760,527640,511760,515000,535000,522000,531600,578920,531160,512640,509560,499680,478200,483280,516720,500160,504520,567160
"B",480240,441280,448920,444640,463840,492920,488160,513960,505320,491560,472520,499160,506240,487680,490840,505840,495720,497000,523200,491960,464120,508160,582880,460760
"C",441400,1600,1520,1440,1400,1280,1320,1600,1440,1720,2080,501800,1880,1520,1440,1680,1640,1600,1680,1280,1480,1560,1680,469160
"D",439320,1160,1120,960,1000,1040,960,1120,1080,1320,1440,512200,1520,1120,1040,1040,880,1120,920,1000,880,1200,1200,464880
"E",447720,3560,4400,3560,3680,3680,2760,2840,3240,3320,4400,493800,3240,3760,3120,3720,3200,3040,2800,2840,3080,3200,3960,461880
"F",455640,265400,301120,345080,295640,276920,291040,286000,264160,278800,282080,484400,287240,321520,301120,290800,285720,292160,293600,277240,293200,281600,319120,468320
"G",452320,473960,491560,506280,514720,519120,529160,547760,554120,554280,552480,486760,526400,540440,543880,531200,546920,555520,509680,520920,503360,499520,489880,470440
"H",441760,460960,456720,463600,486240,503120,497000,495440,512600,514320,521560,493480,521960,526960,526480,525880,515920,510800,478480,476440,466840,459280,443480,454160
"I",461120,420480,436720,433160,473160,452840,482360,486560,495600,510960,483080,471280,497880,498560,484080,491200,487920,479520,467480,471240,445440,444800,445960,419840
"J",437720,414560,409360,436920,429320,469120,471320,486040,464040,470800,458760,465360,459400,454480,467240,486000,490360,456080,474200,432840,421840,422440,431240,443440
"K",451200,414480,419440,444280,444440,448960,458640,479080,455200,453680,461840,461080,439960,456360,483480,475040,479560,441400,438320,436440,432840,415160,436160,417760
"L",421720,395680,413400,413800,412680,434760,422880,431160,447560,460280,468720,462320,456160,458120,470240,462200,457440,444960,428680,434680,425280,419120,383560,418840
"M",409360,379800,400240,415320,442920,413440,418360,410640,449080,437080,463840,480560,475960,452400,458920,449040,474680,438640,412520,405640,381160,409240,411840,420040
"N",383840,386720,428920,2520,2240,4480,256920,470160,456200,439400,409200,419840,421600,404120,428600,435400,420600,430520,439800,440080,385480,407800,419640,396880
"O",406240,397040,429120,429720,422960,437280,427480,420680,435880,447640,425520,419560,410480,420680,436360,430600,434480,401760,426080,418240,386520,381560,420480,445720
"P",401680,400600,391320,395280,389800,403400,410800,390320,410560,440240,506840,470880,444400,476080,429120,423840,489080,445440,517440,427560,421560,437600,395120,413760
