"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",544360,555720,547040,589000,590880,591080,577600,593160,578760,560280,570800,566880,545600,570200,570760,574600,574680,597240,573560,553560,545800,529560,505840,517160
"B",544080,566240,557280,541400,570280,574720,571760,570920,570520,562760,592880,566040,577400,570000,589920,602680,562280,572760,563560,584600,547560,548200,519000,521880
"C",560480,285680,306000,261000,252400,272280,267640,270560,289960,297000,283600,586240,292200,292880,293400,289360,264280,265840,293680,268160,263320,294800,282920,537480
"D",539640,261640,273560,263360,270520,329400,382800,398800,405360,390560,434680,588240,408520,419920,420840,405240,357880,375800,330880,274760,258000,252760,262760,570960
"E",563200,269320,268640,273360,336400,485480,514040,539320,519760,535880,544200,593840,549120,548880,526720,529520,508720,520640,475000,355960,287320,270040,269880,576840
"F",562240,345160,332520,344120,411800,555640,574400,583960,571800,569160,594840,576960,579920,576800,588000,597200,580520,586800,551960,498880,362280,336680,354760,540080
"G",544880,334840,335400,350560,397520,534520,585040,574840,557480,590360,586320,566840,566880,585480,576440,575680,569600,593400,555000,438680,360400,333520,331640,520120
"H",534720,324720,319160,347320,444040,541400,555000,558960,563720,585640,565000,562320,554760,590480,562320,567160,557480,569120,539680,456520,329160,310640,300760,532160
"I",526440,307840,288960,314400,431920,502200,528000,530680,523880,532440,535680,525800,533720,532080,533360,533880,513600,525360,505120,427240,333160,286480,310000,533640
"J",513400,287960,280600,325240,437040,488680,524600,522360,521520,527920,535360,526160,526280,516720,530440,525120,513200,525280,516320,433160,330120,288600,288080,514360
"K",507240,498440,512840,522480,520800,522760,525080,544600,522280,529880,521960,525480,515680,525160,514680,546200,520720,506760,528200,534920,532200,510120,513560,499560
"L",501560,278320,266480,297840,399840,470040,499640,500600,514040,501280,519480,538320,503920,504920,521520,537240,517440,527640,514160,453560,301040,289800,281400,535880
"M",451440,448360,463680,474320,499160,490600,488200,492280,488120,498280,503080,490480,490520,482240,495920,493160,495840,488360,488120,485880,485400,465960,466920,460600
"N",437080,441600,437040,236520,348200,451880,495960,483560,513200,501440,475000,481680,474720,501560,487240,497720,512240,504680,508880,501320,450680,440000,442480,462160
"O",422320,459840,465680,477200,481360,489520,479840,490080,491040,488200,492560,492080,478280,475400,476200,502400,476880,495240,475640,497680,451480,445120,448120,426800
"P",387240,438600,441280,448760,466920,478160,466480,469920,483360,491360,488120,484600,490920,493920,488000,463680,464400,462840,462680,442720,447280,421040,412080,395480
