"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",813960,731880,747520,756800,785880,788520,747480,825000,734000,758800,796920,820080,776000,788120,787240,748200,669400,667120,663600,749800,711280,706800,666560,810640
"B",740560,621800,591640,580600,618360,548120,605760,446880,505680,647040,643960,643640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700120
"C",750520,700120,488920,609520,515320,649880,603360,446560,630120,644920,701280,740480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762560
"D",788080,697680,645200,614000,609440,631240,674880,489240,611920,651800,675440,706760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800560
"E",666600,627760,366760,589800,576280,690560,631360,509800,619400,694720,668040,702880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727560
"F",695240,623280,563640,588080,638840,630400,624960,490760,623320,654480,662000,661160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717240
"G",697200,642200,521920,592320,484840,610600,567880,437240,603200,640280,642280,664800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703280
"H",715680,678400,672760,705840,598520,618400,634880,692440,687200,640440,662480,677480,635280,692520,683160,636200,623360,665800,696040,690120,757440,696200,746880,813160
"I",731960,662440,587120,595280,618240,644680,676720,515160,666360,702880,682720,694200,692480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713120
"J",744400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799160
"K",714480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777120
"L",695400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718720
"M",708920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763120
"N",706960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776520
"O",805200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759200
"P",825800,866000,852880,895320,827600,799760,794360,802880,805320,828080,761640,881840,833840,840600,739720,785240,743920,829920,781480,812200,783920,785200,775680,798880
