"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",277960,374120,248560,281160,253760,236960,237880,243840,336000,304560,344400,346880,332120,199440,355840,305240,253600,335720,265960,288120,284040,277440,320200,223240
"B",235920,363640,407120,269400,187360,194120,197240,186040,195200,219120,246480,280560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338760
"C",193600,299720,327120,222600,166960,184840,169120,200760,211080,240040,231680,175360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224360
"D",279160,293240,269680,198600,159360,175720,163800,166160,208600,243600,231480,217800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254320
"E",265040,363000,257920,191400,147320,180000,166960,148200,155400,247200,124400,205040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244920
"F",323680,295600,221400,207840,158840,164120,150040,175280,181560,201320,197800,210840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246160
"G",267840,257640,261400,165480,126320,174920,173680,159520,182280,229480,166480,226280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281360
"H",338360,247200,213120,228440,233040,236160,259120,276400,209640,223040,231160,267600,265840,226000,240160,262600,258040,271440,299120,236000,242000,247600,254800,259760
"I",333360,244440,214160,189960,148200,150400,135720,176360,140520,181520,198080,223600,258440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187680
"J",279440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302760
"K",230400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249240
"L",247760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223000
"M",293840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221960
"N",308880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275680
"O",280520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337440
"P",379160,280320,265840,181600,198560,262760,198600,210800,245840,179280,267280,276800,261160,269960,244880,206880,226520,281280,234080,237240,189040,240280,301840,356480
