"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116640,111800,124800,129960,137040,134520,111720,81360,36200,13920,8840,137240
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103040,95240,135560,132640,121760,114720,102120,82040,40360,15400,8760,124760
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120960,90640,132800,117400,125560,107040,101320,76280,35640,15760,10040,135720
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125120,117600,133440,125480,119360,110640,105800,82880,39920,17400,12280,133960
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133120,113080,128800,133320,121440,119040,104760,77680,40240,17880,12280,143000
"G",8160,11880,28920,92160,121800,133640,121040,100200,99120,61680,106080,110400,121560,115680,112400,119520,117120,84240,46040,19160,9080,148200
"H",144240,155600,127880,118720,109840,127000,99920,114680,108280,107280,116960,114000,109360,117400,113320,109400,126360,121360,116600,126360,144680,133720
"I",9680,12880,32680,74920,91400,112960,127880,149840,129920,108720,123680,107760,136560,123520,107760,114160,104120,82840,40600,18320,11800,147080
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135680,121760,138720,137840,124520,129480,106360,86320,37680,18200,11240,138560
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101360,114560,130720,137840,115160,113080,92480,81320,37800,20200,10040,124640
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100160,119400,132320,132160,116360,115360,106280,91960,41400,17360,8800,129160
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135000
