"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",59720,138000,232680,279520,252320,269000,280040,282120,271000,274600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278280
"C",67840,151880,243920,309560,305440,290720,320640,293560,317000,291600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310400
"D",65480,154680,233720,258960,279000,305360,299760,267680,280480,283560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312280
"E",62800,141480,272320,334320,321600,312080,274160,316280,294760,254400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319440
"F",73720,163000,294440,321000,336520,365480,322000,330640,320400,370200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289000
"G",70080,128880,249880,301760,318440,293520,313960,271960,286240,307640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308840
"H",298640,308560,320440,326360,247520,340240,327600,315640,277600,354640,349120,317320,265800,330560,334400,253320,254080,330880,305280,269320,354960
"I",58040,140640,257240,275840,298880,295920,294960,291960,294840,279160,300440,NA,NA,NA,NA,NA,NA,NA,NA,NA,288760
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294840
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277320
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304840
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292880
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286720
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274680
