"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31640
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26000
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36200
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35600
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36320
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33360
"H",46640,42520,34920,38040,35400,40360,36480,43320,33960,39000,36920,32880,35680,35480,38280,33040,33760,36360,33760,34440,35800
"I",8560,10560,24240,37880,37560,37880,37320,40160,31160,33760,33440,NA,NA,NA,NA,NA,NA,NA,NA,NA,39560
"J",10360,11480,27880,41480,44080,43800,41960,39040,39400,37640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43760
"K",10800,11040,26840,36640,41440,37200,39880,34400,34240,37400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000
"L",12880,14560,27640,42560,38480,39920,38640,38240,38840,40680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45720
"M",12160,12600,29840,38840,40680,33960,38960,34280,36800,34320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39880
"N",13520,14000,32560,38560,38000,39720,41640,38320,39160,40320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35680
"O",10280,14480,20760,23320,19000,23920,22080,20800,20320,21200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39720
