"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44760
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41480
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45560
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41440
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42160
"G",15080,15440,21480,28760,32160,35040,35400,35000,29880,33920,35960,33160,35360,33520,34000,38680,31800,29120,20600,14920,17280,43560
"H",42440,44520,39440,35520,34400,39200,36440,39080,36800,35880,37720,37720,33480,35400,39160,40080,38040,35360,36800,39440,42560,41440
"I",12760,15480,16680,26880,31160,33160,32600,35960,36040,35200,37240,36680,35520,33000,36840,37160,33480,28280,20400,14640,16120,41760
"J",14040,15160,16680,29520,34720,32960,27920,34920,29520,26600,36120,37280,35600,36760,35960,34840,33600,27240,18360,10720,17360,41200
"K",11600,9960,16360,25720,29640,28280,27080,25360,26080,23520,34120,36960,33640,33200,35800,34320,32280,25360,15280,9120,11560,40800
"L",11080,14040,18360,24640,26840,27120,25320,23680,23520,23040,32560,36000,32040,31760,33560,34240,33200,28600,16120,10200,10280,38680
"M",14000,10000,17640,26120,27240,30240,25640,26400,24440,24680,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40960
"N",13240,13760,18800,26240,29200,26920,29520,27440,25880,26280,38240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42200
"O",10520,12200,19560,26280,25160,27400,28640,28280,27160,26800,35280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38680
