"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",8880,20440,42360,46360,56920,60600,63360,63960,66520,60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243200
"C",7560,20520,88000,60000,69520,62920,60920,54640,68160,59760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282040
"D",8000,23200,114560,132640,84360,51240,63760,59680,59760,56800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259240
"E",5640,26880,124640,203000,126520,50720,58720,56000,58960,52600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339680
"F",6960,21640,78240,219880,266440,84480,75240,57120,63080,55040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352040
"G",7680,15560,53600,126080,210640,136920,74880,60840,74040,67280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325320
"H",237400,231520,284760,263760,265800,246240,245360,259040,292200,277400,273240,279720,280280,320280,252280,273160,272720,287200,286080,287720,248120
"I",7400,22320,49240,95080,92800,117120,181760,267120,283560,266800,128480,157360,190120,280680,263240,149680,96800,61440,27160,10360,269200
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302840
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278240
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286520
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276280
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290880
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258080
