"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51280,50720,53600,54200,48800,44680,35200,22480,13280,10840,56400
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60920,57480,56320,57640,60600,52040,35680,22600,12600,9040,58240
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58920,63360,61840,60520,58720,49520,39080,24720,11920,8840,56200
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57720,54160,56560,58760,55400,50880,39560,22520,10640,9560,53880
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58920,54560,55400,54800,52480,47920,42640,24280,11680,9720,60240
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57160,61160,57320,52360,51560,51640,41600,25080,13560,9520,63960
"H",52800,57520,58960,52640,58480,57280,62720,60680,53480,59400,54960,58240,57200,57160,57920,59200,63040,65440,59720,59920,57760
"I",7800,10560,22440,36520,47160,44600,50320,50840,56480,57680,54840,54560,59080,64280,59600,51240,44280,23800,11600,11320,60520
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57240
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56160
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55720
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53600
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50480
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55480
