"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14240,14200,14240,13240,12840,12200,11840,12480,8200,7640,21280
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22960,20520,22320,23280,25520,27280,28440,22000,10040,8800,36960
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37640,36720,38000,36120,36000,45200,37880,26280,9680,8720,43720
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39760,42720,41440,42800,42920,45800,42280,26920,11400,9200,39400
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42320,38680,40000,41320,43240,42760,38920,25400,10360,8840,44880
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47440,42960,42160,52000,55760,40880,45280,31720,10800,10880,51000
"H",52120,50040,47880,52000,46000,46600,40200,47160,39600,38600,49280,43560,45080,42040,43280,47200,42480,39320,50320,44920,50200
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,45680,39520,NA,NA,NA,NA,NA,NA,NA,NA,NA,49160
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46480
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46360
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44080
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38680
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36640
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18560
