"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",29008,32780,29384,31108,33664,30296,29064,27500,32852,29592,27576,31412,31756,33440,35480,34828,34848,35756,35960,34564,34360,36356,35660,41104
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25340,NA,28028,34252,29800,32032,24936,23080,9148,1096,544,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31060,35020,35320,28824,33448,36848,29052,19228,8912,1116,556,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33096,35676,36824,32872,36052,36484,31208,25372,8712,932,472,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38552,38176,39012,37164,41192,38476,35384,23560,8940,1096,440,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31560,30704,29984,35116,32212,32640,25284,22780,6928,496,340,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37520,29448,33644,30232,32924,31036,26468,21412,5620,536,336,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32600,27252,25612,26796,25728,25024,19732,17016,4244,444,356,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
