"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",5928,10292,5420,11312,5336,9360,12532,9476,5952,12088,5000,6900,3960,9824,8432,7276,8440,5948,4080,10332,9740,4840,9192,7236
"I",NA,4116,8020,7200,5980,4732,11632,7968,11972,6284,NA,7764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,6216,4960,7076,7664,6128,4692,9740,8272,10124,5792,8512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,3724,5884,5832,10788,12876,11800,12448,10856,13108,16696,10160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,852,1024,1408,2944,3864,4804,6004,3868,5952,6368,6288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,732,876,1516,2000,3156,4640,4588,4468,3084,3456,7292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,784,732,1040,1900,1800,3036,2312,1856,3016,3000,7368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,368,692,536,1116,736,800,1084,740,1316,1348,7920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
