"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",11848,10824,11700,11384,12360,10856,12184,11056,12468,12152,13276,11416,13460,12776,11868,12392,12920,12812,13668,12800,13004,14264,14008,15296
"I",NA,7128,9848,9216,11560,8476,11996,10120,12232,12100,NA,11140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,10340,9848,11724,10452,11344,11740,12004,13164,12260,11984,11992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,10716,11464,10892,11276,12180,13136,11932,13544,11940,13460,12672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,10792,11192,12880,11240,13480,12524,12864,11712,12520,13592,13772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,9980,10784,9680,11308,9064,13116,12924,12832,12760,13352,12424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,3988,5292,4772,5548,6608,8316,6580,6740,7488,9092,11984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,1324,1576,1632,1840,1492,1552,1648,1648,1892,1792,13696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
