"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,888,336,388,460,424,384,468,472,528,780,10280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,1460,928,1524,2156,1932,1988,1872,1944,1968,2508,15888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,3548,5028,10792,13468,15776,15972,16284,15468,16376,15512,17968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,6296,10268,19016,18896,19848,19496,19044,19884,18252,17396,19476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,6704,10740,19140,21912,20420,20752,18948,20884,19244,20192,18440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,5104,9924,15728,16516,13204,17016,16608,17400,15272,16236,13828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",22096,17532,20024,17948,19500,17140,20012,17864,17632,18484,17792,16664,18104,16896,19344,18392,20116,17672,18536,17132,17248,16508,19644,20004
"I",NA,5976,10604,14820,19116,15672,18240,14456,16536,15092,NA,17124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
