"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,128,104,88,96,96,76,72,92,108,120,15680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,116,64,52,56,44,52,56,60,60,108,13656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,116,44,32,40,40,40,40,40,44,100,9924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,136,76,52,56,88,92,104,88,96,144,15020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,172,460,2312,3884,4500,3360,5092,6216,3616,3232,12712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,492,2812,10548,11952,13292,13244,14744,13908,11816,10116,12416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",18000,19856,17168,18928,16288,17608,15868,13276,15076,12964,12104,13956,15084,13508,13452,14404,19084,19604,18968,14660,15424,12296,22800,21808
"I",NA,604,1936,5744,12512,11484,14768,11112,13660,11628,NA,12064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
