"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19048,148,112,112,80,84,100,100,112,136,224,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25012,144,84,60,52,44,48,56,60,84,192,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15944,128,112,68,68,84,60,72,64,84,164,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14288,600,336,508,408,320,316,180,280,128,172,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15056,16080,9436,11792,11800,12136,13832,12880,10520,2872,996,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13288,13576,12952,12320,12012,15860,14032,12520,10252,2056,584,NA,NA
"H",14612,15396,16860,15512,12344,11272,12548,12172,12020,10952,17784,11512,12444,13208,14728,16056,21264,18652,15172,12976,16576,15928,19816,21596
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13044,NA,14604,18208,13924,21252,12768,14856,14120,3024,840,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
