"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,1128,552,592,524,684,660,584,608,588,988,10804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,3080,2612,2564,2424,2284,2636,2324,2552,2480,2924,13936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,6416,6352,6388,6688,7144,7372,7192,7172,7112,7432,16532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,13260,12292,12564,13704,15364,15496,15992,15816,15128,15536,17024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,15676,15384,15820,18232,18292,18424,17792,17704,17664,17236,17336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,14280,14976,14144,16968,16364,17684,16440,16568,15852,16864,16852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",17672,16192,16040,15400,18152,18264,18924,17544,17652,17364,18348,16140,17776,17088,18756,17388,18380,18056,18336,17444,18532,17996,17228,15160
"I",NA,15672,14848,14552,17724,16152,17524,15608,18288,16356,NA,17620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
