"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20580,276,188,156,152,156,160,176,152,200,288,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38008,252,140,108,76,92,96,92,80,152,288,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34888,316,164,160,108,124,104,84,104,128,288,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37104,1400,1040,1256,1060,1148,1136,1132,872,932,1160,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30476,3728,3664,3716,3436,3452,3420,3004,3140,3072,2904,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34412,34756,35052,31140,31728,33044,29268,24988,17496,12108,10396,NA,NA
"H",36380,32708,36188,32620,34052,35584,35828,34068,35160,30248,25904,34828,36668,34764,38504,36280,37788,38764,36740,35952,35240,38836,42020,43168
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29604,NA,31468,37196,31468,35212,30600,32728,17056,15808,9840,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
