"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,1136,584,624,588,624,564,532,508,528,824,8648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,2836,2452,2372,2608,2572,2512,2224,2020,1920,2308,10256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,5732,5412,5728,5936,5960,5996,5896,5600,5592,5972,11440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,8788,9180,9412,10168,11516,12108,12100,12412,11708,11976,12116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,10632,10920,11328,11408,12488,13568,13080,12720,12208,14156,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,8956,9648,9800,9936,11688,11112,12104,12592,11072,12624,11348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",12836,12880,12016,12348,11712,11724,12308,11608,12076,11536,11964,11004,12688,13576,13300,11992,12380,12608,12928,12116,12900,13104,13332,14060
"I",NA,9624,9444,10456,11104,10644,12548,11232,13352,12128,NA,11816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
