"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,176,132,112,116,104,148,128,152,144,196,19528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,156,108,96,104,124,136,164,200,228,256,24668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,184,100,100,120,1372,6432,7840,8404,9876,8900,28072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,180,164,196,10128,18656,23000,28532,25776,25376,21844,30100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,316,668,5404,18456,25284,30492,26424,28572,25116,27968,26432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,460,1028,6940,15392,22152,27792,30308,26420,27472,33328,28164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",28432,32848,30068,29332,34496,30400,29956,32348,29224,29168,29772,28916,30464,31172,31700,30180,33652,31544,30136,34968,34252,31848,30760,38708
"I",NA,376,872,5280,17940,21952,31240,26272,30172,25332,NA,25992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
