"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",11208,11548,8388,12148,11012,11156,10936,12268,12840,12672,12336,13368,13152,13704,12692,13088,13300,14412,12876,13864,13424,13204,14404,15464
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10968,NA,11316,13432,12556,13652,11928,13372,12740,13100,11568,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13560,12176,14008,12640,13712,12708,13776,12616,14004,11504,12432,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12240,14348,13688,15188,13832,14616,13704,13664,13072,13344,11940,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14408,13660,13200,13580,14208,13676,13672,13728,15016,14020,12620,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13692,13940,13124,13048,13328,12740,13592,13032,12836,13340,12116,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12772,13852,12104,12828,12828,13044,13008,13420,12772,11372,11784,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13096,10904,9640,11188,7908,10888,9752,11136,10300,10184,9152,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
