"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,72,76,64,68,112,156,276,224,320,344,9332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,144,264,700,1504,2388,4624,5964,5876,6476,6744,12204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,164,344,1168,2696,4380,5832,7848,8928,8972,9736,11264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,232,464,1688,3596,5128,8112,10520,10700,10768,10280,12180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,356,972,1952,3504,4944,8944,10552,12124,11920,12180,12200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,452,788,2244,4212,5156,9108,11132,11760,12684,13576,13032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",12516,10180,13208,12872,13180,13488,12820,12092,12472,13140,13220,12604,12380,12256,12076,12604,11788,13276,13064,13196,12540,12448,12180,13696
"I",NA,348,632,1676,3172,5288,8164,8952,11216,10484,NA,11716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
