"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",24396,18040,25324,23672,21620,17808,20476,18424,13172,15304,17480,14964,20752,22308,19640,22492,24428,22564,20868,23916,26432,26580,23744,22308
"I",NA,656,2132,6496,13916,11924,12020,9476,19088,14812,NA,24012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,844,2960,6948,16796,13064,14500,19068,15804,18328,11280,18972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,244,1000,3192,10584,8292,11400,8432,12136,11892,12652,13560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,124,80,64,524,500,1240,872,828,964,812,16908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,128,64,52,56,60,68,72,92,160,244,12156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,124,88,52,64,60,64,68,72,92,192,20628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,152,156,160,148,132,132,120,168,148,232,13256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
