"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17676,908,972,788,768,884,880,996,996,932,780,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24992,1732,2056,1800,1776,1764,1968,2128,1960,1344,1004,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24836,8888,8748,7748,7912,7544,9264,8812,7292,3288,1748,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26212,16436,17752,19620,18092,20332,19236,18604,12280,6756,3272,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23892,24760,23660,22372,23964,24088,26296,19624,16160,8644,4352,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23348,24056,20104,24308,24860,24228,20700,22068,16220,10552,4044,NA,NA
"H",18252,21168,20452,24632,22688,22780,25048,23452,23236,22464,23148,22168,21868,21348,23464,25072,25664,25984,25708,27552,25056,24968,24740,24000
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,NA,21160,27108,24736,26008,24276,23232,14676,9648,3980,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
