"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,116,120,104,84,96,80,92,96,92,188,19048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,120,96,60,48,48,48,56,68,84,152,25012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,156,88,68,52,64,68,64,68,84,136,15944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,164,120,112,136,148,120,152,148,176,196,14288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,1208,5288,13572,8648,8092,10312,11056,14228,12048,13844,15056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,1632,4920,9624,27420,11376,13212,11860,12952,11896,13764,13288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",14612,15396,16860,15512,12344,11272,12548,12172,12020,10952,17784,11512,12444,13208,14728,16056,21264,18652,15172,12976,16576,15928,19816,21596
"I",NA,1160,6268,13440,16320,13532,14188,13652,18952,14268,NA,13044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
