"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12664,3824,5488,4392,3868,4312,4468,4516,4200,3580,3600,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12732,14204,12316,13520,12676,13424,12648,13308,12676,12140,12540,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15284,13816,13864,14176,13432,14372,14984,13596,13480,13792,13172,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13400,13128,14272,13728,14188,14484,14540,13960,14076,13364,13356,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13908,15712,14924,15440,14920,15048,15012,14552,14348,14636,14000,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14124,14432,14568,14536,14908,14848,14928,14624,14080,14552,14024,NA,NA
"H",13624,13512,13440,13804,13248,14508,13392,13396,13968,13240,14360,14364,15180,14620,15260,14432,15652,14928,15396,15436,15240,16048,17664,15416
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11568,NA,12016,14208,13208,15292,12440,14140,13748,13816,11940,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
