"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,1320,644,592,720,676,756,688,804,744,1324,13352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,4968,4448,4220,5156,5188,5124,4588,5164,4552,5384,15896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,15128,15732,16672,17500,18808,16824,16428,16772,17544,18304,17056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,18540,20024,19776,19656,19648,19656,19836,19488,19200,19784,19436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,18092,20232,20628,19556,20424,20312,20460,20648,19808,20184,19936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,17744,19544,20068,19276,19352,19324,16224,19776,18744,19432,20544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",21068,20112,19320,20776,19936,19560,20448,20280,19672,18428,19504,20188,19012,18116,19232,18116,20060,19112,18288,18724,18688,18392,18668,20052
"I",NA,17592,20756,18320,19788,18084,20908,17968,20088,18040,NA,18980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
