"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",11640,11460,11728,12496,12676,12316,12820,13984,12256,13304,12888,14068,14000,13088,14896,13672,13176,13568,13656,13372,13120,14888,14240,14836
"I",NA,7380,10300,7720,13112,10488,12612,10184,14308,11236,NA,12448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,8952,9272,10844,12052,12184,10872,11868,11704,12940,13120,13300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,8928,11528,11344,12688,12996,13972,11676,14588,12248,15148,13216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,4996,5112,6756,8436,8904,8428,9720,10320,9276,9508,13432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,7216,10676,8892,11296,12368,12384,10728,12984,12724,12960,12580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,4732,7104,7908,9196,9424,9836,9452,9420,9488,9444,12424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,2260,4148,5364,6028,6352,5568,5480,6760,6340,6380,13024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
