"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",24924,25516,26660,29000,29072,27692,30180,28668,30364,27540,27180,29124,29360,28004,29124,29260,29180,30244,30844,32108,32708,29188,31012,30328
"I",NA,17668,21996,17604,23356,22800,25400,19696,25752,24640,NA,24248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,24300,22964,23240,26260,25260,24852,26284,24688,28668,29716,28232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,22860,22592,23548,24996,25780,28324,26744,29704,24324,29820,27476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,26544,25292,24864,28544,31052,29468,29876,30900,30896,29012,30240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,19124,23956,20592,23196,25972,24960,25140,26844,25376,25524,22520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,7676,5032,6304,5128,7344,6752,8548,9672,9976,8768,29516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,336,280,272,324,304,300,320,352,324,380,26020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
