"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",4804,4796,6516,6944,6660,6052,4344,4624,4392,4632,7828,5592,7008,11256,4612,5616,9180,7164,4092,7592,4740,8680,7360,6472
"I",NA,3436,7836,6736,6376,4756,8568,4800,8164,7012,NA,5512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,5664,5792,5844,8140,8408,5944,6564,5624,5152,6760,8520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,4148,7456,9376,12516,12848,5960,6432,6440,8800,13292,4596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,1088,1380,2148,3396,4332,5752,4792,3800,6272,4772,6696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,588,1040,1216,2776,3544,4600,2344,3456,2388,5028,2932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,812,1040,1176,1600,1712,3408,2040,3252,3696,3620,8508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,684,676,916,792,1108,1724,904,1396,1496,1300,5096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
