"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",26744,34368,34500,37724,35172,35264,34792,32420,36752,35920,34460,32468,34128,37148,36084,31636,34220,35824,33760,35292,34616,35592,35676,31624
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29620,NA,30900,34688,31872,38104,29624,31280,25360,24916,18036,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34900,33064,34764,34232,36536,31396,33192,27548,31040,22412,19464,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35712,38920,35404,36652,38020,36556,32808,34524,26268,24328,21092,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39044,38240,38064,36680,39044,37524,34392,34132,31968,23820,21724,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34936,32988,32128,36368,30156,36484,31440,31688,30124,21692,18968,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35080,36140,33184,35684,33676,35656,31620,31612,24204,23232,19552,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32936,12720,12096,11640,11736,11956,11804,13496,12980,10876,9360,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
