"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,176,144,152,216,432,588,644,576,540,736,18328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,240,244,2736,8252,12400,14252,14496,17268,17124,14640,24500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,296,600,4560,13348,16608,20488,22416,26700,24008,24600,23280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,304,616,4836,16456,19960,25916,25552,24432,23768,24012,30016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,312,816,6084,18648,26168,30508,28664,31344,29380,33648,28568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,388,988,7044,18172,21688,25748,27608,26184,28548,27408,27748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",33348,26660,25512,26212,30852,29444,33956,27996,29176,29740,38408,28572,33776,30656,32428,28460,32352,29840,31472,30704,36832,30072,36512,31064
"I",NA,388,796,6496,18968,19392,24336,23364,29552,22136,NA,24412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
