"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",28832,30812,25540,29804,30784,28800,27756,31676,31832,30488,28752,28120,28484,27132,29320,28696,29508,30040,29232,29176,31148,31068,29096,30372
"I",NA,18368,22152,19880,27508,20740,26764,23220,28040,21320,NA,24016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,23160,20968,26684,24576,30256,24176,32180,26744,28480,26392,29904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,21500,23228,23880,25916,23404,27952,29040,30808,24280,28660,26180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,27552,22336,27100,28500,30772,28008,31576,27444,31076,28876,31064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,20360,23644,19020,27836,21900,24728,25208,28192,25312,27424,23904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,18280,18588,19860,21860,20764,23712,21104,22164,23992,24512,27524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,3312,4448,4832,5356,4776,4904,3960,5156,4852,5728,27344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
