"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,672,260,252,264,280,304,392,396,452,788,8452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,596,60,68,204,500,1144,1440,1272,1564,1928,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,676,48,264,2524,6476,9404,11552,10672,11100,10452,12492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,788,88,288,4412,8900,14032,13980,15592,14056,14936,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,868,100,560,5304,11960,15064,15008,15616,15492,16140,15456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,1476,820,1172,5888,8464,11716,11992,14120,14664,14528,14672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",15840,13644,13132,14268,13128,14852,14308,13932,15524,14932,15728,14812,14908,15396,15872,14604,13292,15216,15648,16300,16520,15632,17220,18132
"I",NA,1736,1116,1512,6156,10116,14076,12908,15232,13808,NA,13212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
