"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",37520,36448,40824,38720,33840,33608,32252,35384,32060,30400,37040,33564,34504,33340,30184,34900,29792,35268,31020,35056,36940,37836,40384,41272
"I",NA,10960,18772,20416,34492,31200,36292,29796,36708,30636,NA,30696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,11156,16228,28320,31920,33864,37964,36312,34812,37380,35456,38896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,5784,8540,17792,19196,31376,33160,29840,32116,31568,32352,35220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,3656,3768,9412,15824,18252,24336,26972,16212,22592,26624,41476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,14060,17064,21452,34788,34332,41304,38660,39892,34476,32208,33356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,14640,17964,27832,34172,33052,35668,35396,41020,38644,40488,32492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,2428,3432,4368,13188,11876,10744,10700,18052,19344,41568,41104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
