"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24100,1084,1112,1256,1080,1080,1180,1128,916,1044,976,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37272,5496,5296,4972,5332,5384,4952,5144,4128,4044,3764,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42052,18172,17256,17164,17408,18724,17948,18036,17792,17864,17208,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38440,30252,30728,31808,34636,34348,31196,31092,33192,34144,34692,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47600,43108,43560,41692,44328,47064,45536,39320,50484,45816,46140,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39652,43212,40080,47956,44080,47144,43736,44612,48032,49256,48260,NA,NA
"H",24828,40148,39212,43500,42360,44396,43728,46932,44640,45304,46380,45208,44816,47220,45532,47740,48776,45636,44288,45324,47948,48020,45336,37556
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40796,NA,39288,47136,45428,49968,40772,45316,46488,47504,45248,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
