"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10568,548,524,724,476,568,636,496,456,516,428,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000,1632,1760,1592,1524,1540,1440,1616,1428,1300,1264,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11884,4260,4156,3956,4176,4340,4632,4204,4580,3796,3488,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13372,8528,7936,8952,8816,8588,8408,8952,7968,6980,6436,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12776,13200,13048,13464,13328,13772,12944,12156,13396,12432,13008,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13332,13344,12880,12460,12468,13984,12688,14128,14060,13612,12988,NA,NA
"H",11208,11548,8388,12148,11012,11156,10936,12268,12840,12672,12336,13368,13152,13704,12692,13088,13300,14412,12876,13864,13424,13204,14404,15464
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10968,NA,11316,13432,12556,13652,11928,13372,12740,13100,11568,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
