"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",15048,14212,14048,18856,18436,17944,18552,21672,20556,18760,20944,20444,20412,21168,21348,21812,20120,20940,21636,21500,19608,22084,21160,21112
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18024,NA,16716,18444,16352,13404,5768,5232,2680,1456,1060,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21468,19536,21292,19012,18024,13888,6764,5484,2452,1344,1020,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20520,20964,21496,21080,19584,15440,6704,6232,3536,1848,892,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21628,23612,23412,22416,20012,17032,9356,7732,3748,1684,872,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21100,24700,21468,22484,17500,16636,8440,7668,5444,3392,804,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18484,22128,22260,21268,17096,17268,8116,7820,4420,2856,1344,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19868,17452,16972,14508,15048,10564,5236,5136,2524,1316,732,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
