"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",40504,44440,38648,34388,29676,35240,32740,33172,35528,30868,34120,29276,35308,35588,33416,34100,33592,37044,41288,38160,41500,38296,44956,38784
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25440,NA,27672,30620,29568,35696,33628,28600,22612,16020,12484,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32844,36076,37304,33992,36016,33312,33040,30112,23532,14872,7788,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34188,37332,29880,40572,36328,39504,29440,34552,25852,15948,13244,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41760,35044,38940,34484,38200,36436,35176,34132,26776,14644,12252,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32796,37992,27816,39348,32764,39176,33900,29508,22892,13292,11400,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36808,38828,35868,36240,32888,38408,33880,29860,25444,15984,13144,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41100,39148,35812,37860,37832,35324,37116,32424,25888,13408,11136,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
