"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",16876,20216,19456,20328,25400,24080,22204,20412,22268,22464,20860,22584,21220,22112,22400,26000,21708,25440,22876,23808,23368,23184,24044,19392
"I",NA,3092,11356,22008,27052,24588,24660,17388,24300,21168,NA,22320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,3204,8948,17832,21792,23288,23480,22408,19328,21864,20932,23068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,4292,8952,21932,27316,26052,27352,25496,25204,25012,28228,26312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,3348,7948,19676,22820,22596,23544,22864,23496,27504,22932,24700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,2256,8872,19400,24728,24028,22668,24104,26496,21772,22920,24348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,212,344,2956,4524,4712,4128,4508,5316,6132,5800,23932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,144,188,196,260,244,244,236,228,260,336,25784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
