"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24536,1448,1352,1128,1420,1248,1444,1504,1756,2040,2352,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29508,2228,2044,2096,1944,2132,2132,2564,2576,2716,2708,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33108,5836,4812,5516,6060,5560,6012,5432,4704,4380,3260,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32812,14028,14788,15924,12964,15868,12068,12196,11104,6820,6008,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32568,27796,27964,30876,30504,29416,26580,29060,19964,12816,10076,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30148,31688,31848,31836,33148,30272,33904,33392,31452,17932,12536,NA,NA
"H",35980,37908,40068,36556,33776,32572,34500,33296,35412,34340,29220,32076,30828,33488,31752,34876,34732,32540,34684,32852,35472,41036,36800,36312
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28340,NA,29932,33592,32844,33244,28540,34804,33316,20220,11620,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
