"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",17832,16320,14668,12804,14016,11572,16980,15956,12576,10396,10516,12424,14440,13244,9892,13540,14716,15944,18076,12836,16660,11620,20140,25540
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13628,NA,8844,10948,12532,14264,17144,15568,9540,2920,1160,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11392,12576,16084,13944,13096,12812,14012,12204,7388,1840,668,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14160,11296,13060,14756,12476,12608,13272,10040,10144,2448,748,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12228,11060,10092,12324,14112,13864,12696,11316,6572,3584,1060,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10844,11628,10140,10532,9912,12384,15276,8904,4780,3660,732,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16136,20456,20144,15872,18564,25172,23472,18584,10860,2552,1512,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14872,38872,40792,36772,38384,36156,41748,35212,27140,9412,2820,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
