"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",36380,32708,36188,32620,34052,35584,35828,34068,35160,30248,25904,34828,36668,34764,38504,36280,37788,38764,36740,35952,35240,38836,42020,43168
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29604,NA,31468,37196,31468,35212,30600,32728,17056,15808,9840,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37792,38300,37576,33808,36456,35416,35996,27032,24208,16304,13376,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39668,34564,34072,37540,34256,39196,38236,31068,26484,17772,12580,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40084,38668,40268,36744,37888,37432,35968,37972,27084,16364,13380,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36604,38540,38416,35036,38624,37480,37284,36144,22320,16860,12388,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38180,36020,41640,38112,36660,36176,30180,28656,23652,16844,10188,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37080,15500,15104,13556,13364,14560,10876,10840,6908,6000,4480,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
